package_name,filename,md5,play_prog_title,play_version,play_url,size,play_installs,play_dev,play_dev_site,play_dev_address
com.imo.android.imoim,com.imo.android.imoim-21071031.apk,8bac62b4c3ad748f6e37f4cfe6095de0,imo free video calls and chat,Varies with device,https://play.google.com/store/apps/details?id=com.imo.android.imoim&hl=en&gl=us,29.2MB,"500,000,000+",imo.im,https://imo.im/,"395 Pagemill Rd, Suite 100, Palo Alto, CA 94306"
us.zoom.videomeetings,us.zoom.videomeetings-57003.apk,e5755c3bce9e3ab664937170972e090a,ZOOM Cloud Meetings,5.7.3.1498,https://play.google.com/store/apps/details?id=us.zoom.videomeetings&hl=en&gl=us,19.15MB,"500,000,000+",zoom.us,http://zoom.us,
com.skype.raider,com.skype.raider-1250110097.apk,395d46e2b17f0eeabe46c73a78723fb0,Skype - free IM & video calls,Varies with device,https://play.google.com/store/apps/details?id=com.skype.raider&hl=en&gl=us,36.55MB,"1,000,000,000+",Skype,http://www.skype.com,"Skype Software S.à.r.l, 23 – 29 Rives de Clausen, L-2165 Luxembourg"
sms.mms.messages.text.free,sms.mms.messages.text.free-1780000001.apk,02ddb7efdbc13bda142af29df60efadc,Messenger SMS & MMS,17794000001.9,https://play.google.com/store/apps/details?id=sms.mms.messages.text.free&hl=en&gl=us,12.74MB,"5,000,000+",Share File Technologies by 090 Bravo,http://bravo-inc.store/app-ads.txt,"23 Rosecrans Ave, Suite 200
El Segundo, CA 90245. USA"
com.microsoft.teams,com.microsoft.teams-2021093711.apk,f6d71587277c763df7b4c5a6a4e4cc53,Microsoft Teams,1416/1.0.0.2021093701,https://play.google.com/store/apps/details?id=com.microsoft.teams&hl=en&gl=us,88.73MB,"100,000,000+",Microsoft Corporation,http://aka.ms/microsoftteams,One Microsoft Way
com.beint.zangi,com.beint.zangi-615.apk,8407228955b96c4010f37448c8908a9f,Zangi Messenger,5.2.0,https://play.google.com/store/apps/details?id=com.beint.zangi&hl=en&gl=us,45.75MB,"5,000,000+","Secret Phone, Inc",https://zangi.com,"550 Moreland Way, apt 3311
Santa Clara, CA, 95054"
com.enflick.android.TextNow,com.enflick.android.TextNow-13890.apk,c994c4747ffd970276f7c722692689e2,"TextNow - Free Text, Voice and Video Calling App",Varies with device,https://play.google.com/store/apps/details?id=com.enflick.android.TextNow&hl=en&gl=us,28.59MB,"50,000,000+","TextNow, Inc.",http://www.textnow.com,"Suite 200 - 420 Wes Graham Way
Waterloo, ON
N2L 0J6
Canada"
com.textmeinc.textme,com.textmeinc.textme-328030040.apk,e16d737a46fffbaf94d0c13bf81cae9a,"Text Me: Text Free, Call Free, Second Phone Number",3.28.3,https://play.google.com/store/apps/details?id=com.textmeinc.textme&hl=en&gl=us,21.52MB,"10,000,000+","TextMe, Inc.",http://www.go-text.me,"275 Post St #500
San Francisco, CA 94108"
com.tt.live.chat.call.app,com.tt.live.chat.call.app-8.apk,8f3e35711f36a82ee18b37b083464daa,Meet U Chat-Hookup Dating App&Make New Friends,2.0.4,https://play.google.com/store/apps/details?id=com.tt.live.chat.call.app&hl=en&gl=us,33.94MB,"50,000+","Liuyi Cool New Technology (Shanghai) Co., Ltd.",,
kr.jungrammer.randomchat,kr.jungrammer.randomchat-417003.apk,01337718e5224250e9e09d645ceda74b,Random Chat (Stranger Chat),4.17.03,https://play.google.com/store/apps/details?id=kr.jungrammer.randomchat&hl=en&gl=us,5.73MB,"1,000,000+",gaga.chat,,"경기 용인시 기흥구 동백중앙로 191, 17006"
com.hornet.android,com.hornet.android-40396.apk,45099a1ec313fe4ddb799255601da4d0,Hornet - Gay Social Network,7.3.1,https://play.google.com/store/apps/details?id=com.hornet.android&hl=en&gl=us,57.13MB,"10,000,000+",Hornet Networks Ltd,https://hornet.com/,"Hornet Networks Limited
Office A, 10/F Tung Lee Commercial Building
91-97 Jervois Street
Sheung Wan
Hong Kong"
com.chatous.chatous,com.chatous.chatous-381.apk,6be68fce5402a762fa73b328af10b07c,Chatous,3.9.88,https://play.google.com/store/apps/details?id=com.chatous.chatous&hl=en&gl=us,30.31MB,"10,000,000+",Castle Global,https://chatous.com,"255 California St., Suite 800
San Francisco, CA 94111
"
messenger.messenger.messanger.messenger,messenger.messenger.messanger.messenger-180.apk,2506f269ebc1bc01e0c591b1c5cb4fc5,,,,13.2MB,,,,
com.planetromeo.android.app,com.planetromeo.android.app-1000000650.apk,d8468b83eb78973915149bcad80bcbf4,ROMEO - Gay Dating & Chat,3.12.0,https://play.google.com/store/apps/details?id=com.planetromeo.android.app&hl=en&gl=us,26.18MB,"5,000,000+",ROMEO B.V.,http://romeoapp.com/,"De Ruyterkade 7
1013 AA Amsterdam
Netherlands"
com.hi5.app,com.hi5.app-1502.apk,55daab27191097c722630a3c99a2ed5a,"hi5 - meet, chat & flirt",9.39.0,https://play.google.com/store/apps/details?id=com.hi5.app&hl=en&gl=us,40.82MB,"10,000,000+",Ifwe Inc.,http://www.hi5.com,"101A Clay St Box #117
San Francisco, CA 94111"
com.lavendrapp.lavendr,com.lavendrapp.lavendr-80000003.apk,b8ea638f6917cecfa3e4e0d4d6b76ec8,SURGE – Gay Dating & Chat,8.0.0,https://play.google.com/store/apps/details?id=com.lavendrapp.lavendr&hl=en&gl=us,16.18MB,"1,000,000+",Surge Gay App s.r.o.,http://www.surgeapp.com/,"Surge Gay App s.r.o.
Rohanske nabrezi 678/23
Prague 8, 18600
Czech Republic"
com.bumble.app,com.bumble.app-2483.apk,652825ce9e481505b38239b5fffbec96,"Bumble – Dating, Make New Friends & Networking",5.229.0,https://play.google.com/store/apps/details?id=com.bumble.app&hl=en&gl=us,26.42MB,"10,000,000+",Bumble Holding Limited,http://bumble.com/,"The Broadgate Tower
Third Floor
20 Primrose Street
London
United Kingdom
EC2A 2RS"
com.takimi.android,com.takimi.android-296.apk,d9357b90cf9434512fd1b37116964006,"Taimi - LGBTQ+ Dating, Chat and Social Network",5.1.136,https://play.google.com/store/apps/details?id=com.takimi.android&hl=en&gl=us,22.33MB,"5,000,000+",Social Impact Inc.,http://taimi.com,"1180 North Town Center Drive
Suite 100 Las Vegas Nevada 89144
Las Vegas, Nevada 89144"
com.grindrapp.android,com.grindrapp.android-87727.apk,11fabbeff00339c14a164b5544b8b4c0,Grindr - Gay chat,7.13.0,https://play.google.com/store/apps/details?id=com.grindrapp.android&hl=en&gl=us,20.99MB,"10,000,000+",Grindr LLC,http://www.grindr.com,"750 N. San Vicente Blvd
West Hollywood
CA
90069
USA"
com.surgeapp.grizzly,com.surgeapp.grizzly-10302000.apk,7030c64fc025cc944a32a69dc9ee66ce,Grizzly - Gay Dating and Chat,1.3.2,https://play.google.com/store/apps/details?id=com.surgeapp.grizzly&hl=en&gl=us,17.51MB,"1,000,000+",Surge Gay App s.r.o.,http://grizzlyapp.net,"Surge Gay App s.r.o.
Rohanske nabrezi 678/23
Prague 8, 18600
Czech Republic"
com.halo.chat,com.halo.chat-35.apk,9faf75410385d4c96e02d9ba34199c6e,Halo-Dating App to Chat Meet New Friends,1.3.6,https://play.google.com/store/apps/details?id=com.halo.chat&hl=en&gl=us,40.52MB,"100,000+",WeTouch,http://www.halochatapp.com,38/F One Pacific Place 88 Queensway Hong Kong
sg.bigo.live,sg.bigo.live-2141.apk,e0f553bd6a78f55b95290b146d2934b5,"BIGO LIVE–Live Stream, Live Chat, Go Live",5.9.2,https://play.google.com/store/apps/details?id=sg.bigo.live&hl=en&gl=us,34.4MB,"100,000,000+",BIGO TECHNOLOGY PTE. LTD.,https://www.bigo.tv/,"30 Pasir Panjang Road #15-31A Mapletree Business City, Singapore 117440"
com.woolookme.woo.app,com.woolookme.woo.app-13.apk,2abaed8844184a076895bbb0b08b8647,Bliss-Dating App to Chat & Meet New People,1.1.3,https://play.google.com/store/apps/details?id=com.woolookme.woo.app&hl=en&gl=us,29.47MB,"1,000,000+",hdapp,,
com.shazzle.nativechat,com.shazzle.nativechat-176.apk,a3fd05d3743904d2603394a95121a540,ShazzleChat - Free Privacy Peer-to-Peer Messenger,1.3.8,https://play.google.com/store/apps/details?id=com.shazzle.nativechat&hl=en&gl=us,10.74MB,"100,000+","Shazzle, LLC",https://shazzle.com/shazzlechat/,
com.beint.pinngle,com.beint.pinngle-888.apk,03a94a2dd087dfb9ce7174596d99b7ae,Pinngle Safe Messenger: Free Calls & Video Chat,1.1.8,https://play.google.com/store/apps/details?id=com.beint.pinngle&hl=en&gl=us,9.18MB,"10,000,000+",Pinngle CJSC,https://pinngle.me,"Charents street 1/207, Yerevan 0025, Armenia"
nl.rijksoverheid.en,CoronaMelder_v2.2.0_apkpure.com.apk,33dd97ebd9266699b38009cb8738e25c,CoronaMelder,2.2.0,https://play.google.com/store/apps/details?id=nl.rijksoverheid.en&hl=en&gl=us,7.98MB,"1,000,000+",Rijksoverheid,https://coronamelder.nl/,
com.knasirayaz.mohapcovid,com.knasirayaz.mohapcovid.apk,be7529ee799e47a04e449182153834ec,COVID19 UAE,2.4.1-prd,https://play.google.com/store/apps/details?id=com.knasirayaz.mohapcovid&hl=en&gl=us,41.68MB,"500,000+",Ministry of Health and Prevention - UAE,https://www.mohap.gov.ae,
com.identos.nav.niagara,com.identos.nav.niagara.apk,f03b174ab56132410bff1c66712a7f97,Niagara Health Navigator,2.1.1,https://play.google.com/store/apps/details?id=com.identos.nav.niagara&hl=en&gl=us,11.71MB,"10,000+",Niagara Health,https://niagarahealth.on.ca,
ca.bc.gov.health.hlbc.COVID19,ca.bc.gov.health.hlbc.COVID19.apk,07ad82b7828036c3899cf29fb7030be3,BC COVID-19 Support,1.41.0,https://play.google.com/store/apps/details?id=ca.bc.gov.health.hlbc.COVID19&hl=en&gl=us,10.76MB,"50,000+","Province of British Columbia, Canada",,
bg.government.virusafe,bg-government-virusafe1590552000.apk,1359e55b5fed2b7743cfd2280dc29a5f,ViruSafe,1.0.3,https://play.google.com/store/apps/details?id=bg.government.virusafe&hl=en&gl=us,3.67MB,"50,000+",government.bg,,
com.amazon.atozm,Amazon A to Z_v4.0.3145.0_apkpure.com.apk,cccef6bb0c308e4da5276ceb45e607dc,Amazon A to Z,4.0.3145.0,https://play.google.com/store/apps/details?id=com.amazon.atozm&hl=en&gl=us,23.23MB,"1,000,000+",Amazon Mobile LLC,https://atoz.amazon.work/,"AMZN Mobile LLC
410 Terry Ave N
Seattle, WA 98109"
ca.albertahealthservices.contacttracing,ca.albertahealthservices.contacttracing.apk,ef8b6c314eead187f868397e6045f55e,ABTraceTogether,2.2.1,https://play.google.com/store/apps/details?id=ca.albertahealthservices.contacttracing&hl=en&gl=us,13.97MB,"100,000+",Government of the Province of Alberta,http://alberta.ca/ABTraceTogether,"3720 - 76 Avenue
Edmonton, AB T6B 2N9"
com.minsvyaz.gosuslugi.exposurenotificationdroid,com.minsvyaz.gosuslugi.exposurenotificationdroid.apk,39c85d65b13661063c86d45bd0869e4b,Госуслуги.COVID трекер,1.1.0,https://play.google.com/store/apps/details?id=com.minsvyaz.gosuslugi.exposurenotificationdroid&hl=en&gl=us,9.62MB,"100,000+",Минцифры России,,
ca.gc.hcsc.canada.stopcovid,ca.gc.hcsc.canada.stopcovid.apk,02e22f1945ff9bad4c9f903152f3b4d4,COVID Alert - Let’s protect each other,1.4.6,https://play.google.com/store/apps/details?id=ca.gc.hcsc.canada.stopcovid&hl=en&gl=us,8.71MB,"1,000,000+",Health Canada | Santé Canada,https://www.canada.ca/en/public-health/services/diseases/coronavirus-disease-covid-19/covid-alert/help.html,
pl.gov.mc.protegosafe,pl.gov.mc.protegosafe.apk,d81079b1039910ec58dc1d330e445047,STOP COVID - ProteGO Safe,4.12.0,https://play.google.com/store/apps/details?id=pl.gov.mc.protegosafe&hl=en&gl=us,6.72MB,"1,000,000+",Kancelaria Prezesa Rady Ministrów,,"Kancelaria Prezesa Rady Ministrów
Zespół Publicznej Aplikacji Mobilnej - mObywatel
ul. Królewska 27
00-060 Warszawa"
lt.nvsc.coronawarnapp,lt.nvsc.coronawarnapp.apk,84a068d559673096d4ef33aa93c71c94,Korona Stop LT,1.2.2,https://play.google.com/store/apps/details?id=lt.nvsc.coronawarnapp&hl=en&gl=us,4.4MB,"100,000+",Nacionalinis visuomenes sveikatos centras,https://nvsc.lrv.lt,
